COMMUNE,LIEU_DIT,DEPARTEMENT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS,Département,Ancienne Région,Nouvelle Région,DPT_str
DISTRÉ,Munet,49,466086.0,6685408.0,47.227745299111525,-0.09218644559687403,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
GENNES-VAL-DE-LOIRE,Grande cave ouest Cunault,49,457969.0,6697489.0,47.333504296974276,-0.20585241231902174,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
TAURIAC,la Lustre,33,423193.4,6443946.4,45.03928259373767,-0.5164289972627722,33,Aquitaine,Nouvelle-Aquitaine,Gironde
LUBILHAC,Pebrut 51,43,717842.0,6462536.0,45.2619394916834,3.2274870249829988,43,Auvergne,Auvergne-Rhône-Alpes,Haute-Loire
SAINT-JEAN-SAINT-GERVAIS,Galerie n°10,63,728272.208,6479739.462,45.41649580473172,3.3614756743850367,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
LE POIRÉ-SUR-VIE,Le Fief,85,352914.0,6640966.0,46.77876898618639,-1.551623684044317,85,Pays de la Loire,Pays de la Loire,Vendée
LERNÉ,Maulévrier,37,481845.4,6674674.8,47.136548336347644,0.12112139613081566,37,Centre,Centre-Val de Loire,Indre-et-Loire
FONTENAY-LE-COMTE,Parc Baron,85,408064.0,6603642.0,46.46942839958848,-0.8060551468202422,85,Pays de la Loire,Pays de la Loire,Vendée
LA RONDE,Caillaude,17,409697.0,6585129.0,46.3036226880898,-0.7732731186359781,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-JUSTIN,Presbytère de Saint-Martin,40,438215.0,6329051.0,44.01173603513855,-0.26550297251875604,40,Aquitaine,Nouvelle-Aquitaine,Landes
HOURTIN,Maison forestière de Louley,33,378290.0,6465217.0,45.21109086156871,-1.0999294380346687,33,Aquitaine,Nouvelle-Aquitaine,Gironde
AYDAT,Le Lot,63,700074.0,6507422.0,45.666351723080325,3.0009503971968896,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
SAINT-GENIEZ-Ô-MERLE,Les Tours de Merle - Tour Fulcon,19,627150.0,6441007.0,45.06447676429244,2.074413862262844,19,Limousin,Nouvelle-Aquitaine,Correze
DISTRÉ,Chais du Château de Pocé,49,463767.0,6686319.0,47.23511890745801,-0.12328636364300244,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
MONTSOREAU,Cave aux bateaux,49,477804.0,6682953.0,47.209685769883016,0.06377732205325425,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
SAUMUR,La Cour Pavée,49,470890.0,6686832.0,47.24223145170274,-0.02946557689455799,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
ORCINES,Puy de Cliersou,63,696782.795,6521709.102,45.794997599147024,2.958584538444196,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
MONTAIGUT-LE-BLANC,Caves sous l'église,63,707238.437,6498713.693,45.58789687448777,3.092833200967798,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
